,Country,Country_codes,Year,Population,Gini_Index,Average Income (USD),Top 10% Income Share (%),Bottom 10% Income Share (%),Income Group
243,Canada,CAN,2003,5843971,0.597504589021771,28468.647398438014,50.03229870350948,3.651115508354799,Upper Middle Income
244,Canada,CAN,2004,109152316,0.556762986939209,65351.44409563274,53.25439266945557,1.5210827108345368,Low Income
245,Canada,CAN,2005,114104969,0.2499251079872346,69269.50529783007,50.144723815370085,3.4693645928542183,Upper Middle Income
246,Canada,CAN,2006,109345217,0.2554163458743482,6363.645561721035,38.33700013548631,4.408285734752768,Low Income
247,Canada,CAN,2007,132096621,0.5606190575267025,60260.851350449375,50.09734984326336,2.971443181643492,High Income
248,Canada,CAN,2008,199424293,0.2626980315113597,25610.244538545456,52.0000880409726,4.24143033894189,Upper Middle Income
249,Canada,CAN,2009,102520535,0.6112608592377659,40847.04173397263,58.80193992834253,2.388659174100394,High Income
250,Canada,CAN,2010,309071604,0.5055166151913155,20827.981411876317,57.34779163698583,4.386775561116418,Upper Middle Income
251,Canada,CAN,2011,154456583,0.2209616817754617,57150.91545397202,39.21094000854109,1.4453895342229162,High Income
252,Canada,CAN,2012,259463548,0.4289982846282165,26851.011100836997,29.352364847506813,3.812348827525305,Low Income
253,Canada,CAN,2013,270747243,0.3511673578466221,34804.02298104418,31.71467034062107,2.3971158642690784,Lower Middle Income
254,Canada,CAN,2014,269705027,0.536855160736982,51959.68122334107,49.6413400061968,3.380079857847188,Lower Middle Income
255,Canada,CAN,2015,274454947,0.4245419079159085,27377.362092687792,47.43286381170933,3.143436877896772,Lower Middle Income
256,Canada,CAN,2016,311642483,0.6314317874398805,52644.26844969445,56.82262252405985,1.1118212108279923,Upper Middle Income
257,Canada,CAN,2017,17711160,0.2002849402546165,2784.3560540558638,55.74639542635513,2.181300301013734,High Income
258,Canada,CAN,2018,296826011,0.4725529734320269,57427.89030486615,33.68035722463392,2.631023015123421,High Income
259,Canada,CAN,2019,199562384,0.2677474678607103,28234.91477508495,27.651725889632747,1.1435665189009647,Lower Middle Income
260,Canada,CAN,2020,277633294,0.6322099066316224,47427.29053248545,24.40448996569732,4.7793680658441495,Upper Middle Income
261,Canada,CAN,2021,177416741,0.2780411396116197,11049.979618914727,30.62513710475253,4.381725660324962,High Income
262,Canada,CAN,2022,145020118,0.585071055821822,69448.55412666893,48.80692256319048,3.621149226269168,High Income
263,Canada,CAN,2023,330839157,0.5381623903667112,30888.366200064764,35.59024822161099,3.14257740106227,High Income
264,Mexico,MEX,2000,40278636,0.5326475795584936,40402.03292817316,36.36889613442635,1.29710696450144,High Income
265,Mexico,MEX,2001,235406814,0.5564076206759572,4412.25977726227,48.01455316351685,3.969443645745556,High Income
266,Mexico,MEX,2002,76724950,0.5515358106595537,3009.783234883639,50.19123861753731,3.829202002464565,Lower Middle Income
267,Mexico,MEX,2003,75141108,0.4056363525720535,6014.341153647794,41.26704944243335,3.1307151688044264,High Income
268,Mexico,MEX,2004,224513261,0.5660964045396278,33242.74970948469,33.17935303481425,4.817579662222812,Lower Middle Income
269,Mexico,MEX,2005,181085770,0.568392083393045,39327.34603513928,49.83054740596703,1.401408471830027,Upper Middle Income
270,Mexico,MEX,2006,132987882,0.572641082559163,16441.94299229276,59.41175782919114,2.719632734596792,Low Income
271,Mexico,MEX,2007,115859408,0.4307415313057642,1497.7702361596052,54.72341030650105,4.814432583829271,Lower Middle Income
272,Mexico,MEX,2008,224083476,0.4091498799120217,22491.726475328654,57.63088241810759,4.299700085363876,High Income
273,Mexico,MEX,2009,237235961,0.2427961039228447,66466.11065960131,38.16818472964592,1.2419299215286663,High Income
274,Mexico,MEX,2010,77536422,0.5596924420192431,15246.813835591982,20.06309058561165,1.8006631803410893,Low Income
275,Mexico,MEX,2011,47474793,0.2140950121528736,20695.960913468025,58.436767398254574,2.1060829432270936,Low Income
276,Mexico,MEX,2012,226415011,0.3505648488403293,26527.571663852475,31.60814138822342,2.567163011400933,High Income
277,Mexico,MEX,2013,254096675,0.5092753928269812,15884.989752225543,36.39206972320595,2.3488186047996487,High Income
278,Mexico,MEX,2014,17780794,0.5497133686122271,28950.124619112798,57.11718055820836,1.376578761247655,Upper Middle Income
279,Mexico,MEX,2015,9245817,0.4202589214399549,7073.291064163427,31.50163130542644,3.3749311671272144,Upper Middle Income
280,Mexico,MEX,2016,95502150,0.3477538183260816,66211.92938589668,41.41596553848417,2.597175329475682,High Income
281,Mexico,MEX,2017,146913860,0.2761771918189744,41037.4746706206,32.80117281664742,4.074514451164354,Lower Middle Income
282,Mexico,MEX,2018,280459373,0.2455871006818512,2340.6580458123217,46.36737007937332,2.7742492732117,Upper Middle Income
283,Mexico,MEX,2019,283634849,0.4498871315535212,33246.402524789984,51.99147563908113,2.3504320116439663,Lower Middle Income
284,Mexico,MEX,2020,200551120,0.2044168037792424,36959.792054777325,43.20381266811008,3.201398628270405,Low Income
285,Mexico,MEX,2021,267604814,0.3460986664947048,50142.25837933976,42.70981070789568,2.679034119420658,Low Income
286,Mexico,MEX,2022,271776984,0.5441237946027999,45928.76324850115,35.43087620048382,1.8164578074704865,Lower Middle Income
287,Mexico,MEX,2023,145595981,0.5659817104261851,37379.596403806296,23.546321599571023,1.5155105254887888,Upper Middle Income
288,France,FRA,2000,335354742,0.3615199156044677,17278.133988318594,33.01885797539434,1.310796840946955,High Income
289,France,FRA,2001,231617497,0.2507136947915803,54895.961174460695,56.91689174418696,2.616556205500151,High Income
290,France,FRA,2002,14269499,0.4509925361383265,1409.140051201739,56.54525447293948,2.7949889835436945,Low Income
291,France,FRA,2003,43261319,0.3830247481620227,32313.15178342712,32.5767852703873,1.210542590086428,High Income
292,France,FRA,2004,12586565,0.434151367251383,13514.15983518938,31.133550043473104,2.892875302956209,Upper Middle Income
293,France,FRA,2005,348053957,0.5337589670151661,1801.4744377172592,26.88484774867352,2.488329950448566,Low Income
294,France,FRA,2006,273406644,0.2313313662605445,5320.203506035861,22.515245062342963,4.849661118647775,Lower Middle Income
295,France,FRA,2007,79131592,0.441640121016834,20858.42937252049,30.10263634315736,4.429214319366512,Upper Middle Income
296,France,FRA,2008,249046381,0.2281329893501976,52162.76730501051,58.52899631060008,4.7153314568710805,Upper Middle Income
297,France,FRA,2009,8189446,0.374412034811081,48743.07158454409,49.143489739087805,2.9412661069597,Lower Middle Income
298,France,FRA,2010,259653374,0.4193722955734156,3877.5280865752975,27.073063920371816,2.571933126176638,Upper Middle Income
299,France,FRA,2011,56068518,0.3895884779507517,29610.25419523449,40.47466959733905,1.3676498298518245,Lower Middle Income
300,France,FRA,2012,255678781,0.2837324239116806,38363.02406700279,21.802870591361994,4.014170336530409,Low Income
301,France,FRA,2013,51139894,0.6237671618011383,42836.97715668071,38.11259740383242,2.4539030746166475,Low Income
302,France,FRA,2014,233499000,0.5943713626325529,61182.25955537835,57.92709537471235,1.8794545520950328,Upper Middle Income
303,France,FRA,2015,7280546,0.2389897733103582,58589.40342987248,38.40088360813555,3.10731574481026,High Income
304,France,FRA,2016,268620955,0.4939054145719035,29155.542326201,49.13297959136493,3.2581054820666693,Low Income
305,France,FRA,2017,82583930,0.3412455350378728,66326.3539888564,35.79342112935962,2.5852653584852043,High Income
306,France,FRA,2018,226826371,0.6364852374970662,57834.09607755892,35.754286474371575,1.56080565526931,Lower Middle Income
307,France,FRA,2019,291647794,0.598863684293204,9340.248389244474,48.342680469430505,4.726540396128275,Upper Middle Income
308,France,FRA,2020,119724211,0.5329859373742373,54470.16912489832,39.243970181601966,4.050750001642291,Upper Middle Income
309,France,FRA,2021,275538389,0.509046920767199,2769.71692731398,41.93428544306183,4.239842891858907,Low Income
310,France,FRA,2022,182707009,0.2026876435313209,31085.310467680974,57.23546983377953,2.812302631621116,High Income
311,France,FRA,2023,232089401,0.5214894151398983,59280.216408460845,20.053225006745947,2.653215120510543,Upper Middle Income
312,Australia,AUS,2000,189245873,0.3966057546573382,36454.68677470515,49.3794522048329,4.722631334448369,Upper Middle Income
313,Australia,AUS,2001,226136418,0.2694686693726962,16528.542712958762,27.71864477017237,3.45658788661336,Upper Middle Income
314,Australia,AUS,2002,340237597,0.5207147319526648,63372.58813609752,49.50612915336982,3.231760882178348,High Income
315,Australia,AUS,2003,206615078,0.2854947219937822,4642.120003027301,50.51114546345033,1.7320798003605828,Low Income
316,Australia,AUS,2004,152850316,0.4612725194063172,2029.9585544845372,20.593577721700985,1.7771066629765593,Lower Middle Income
317,Australia,AUS,2005,115913633,0.2725678641661558,12318.06632157042,41.12006796995048,4.286371232209948,Upper Middle Income
318,Australia,AUS,2006,229983858,0.5843554172710759,22830.257669962564,50.04192024559202,1.205002445283471,Upper Middle Income
319,Australia,AUS,2007,116089246,0.4027292815432317,34245.47201898592,25.00781206180568,1.0622851922978618,Lower Middle Income
320,Australia,AUS,2008,169127817,0.5386768509895581,19528.13113855837,51.33976936530634,4.406189227266758,Lower Middle Income
321,Australia,AUS,2009,295266806,0.382686409603907,37409.60985851709,48.90420982074439,1.7050267325664938,Lower Middle Income
322,Australia,AUS,2010,197597584,0.5375345175349674,16122.6499621226,51.36709639043814,1.032336286134944,High Income
323,Australia,AUS,2011,115860572,0.5470670662205206,8680.683929016803,51.96124232518269,4.382864862934214,Upper Middle Income
324,Australia,AUS,2012,68425445,0.6396076891135825,27374.494040648024,41.608167168094354,3.2347396100025008,High Income
325,Australia,AUS,2013,118591712,0.3550411320152428,21609.62497029085,31.02262749452542,1.4223279818302874,High Income
326,Australia,AUS,2014,191582727,0.3699148809982805,14226.549577044454,46.24322178141702,1.0982276867575185,Upper Middle Income
327,Australia,AUS,2015,292367359,0.6023452343071939,50289.67825253945,41.54370358460787,1.2718992280371435,High Income
328,Australia,AUS,2016,79837839,0.2818099283054112,18456.74366795024,21.634844259354907,2.844728263007737,High Income
329,Australia,AUS,2017,215793884,0.3741291909669653,56274.087034937285,32.43834815140154,1.5599318038205614,Low Income
330,Australia,AUS,2018,239216253,0.237122425470841,69210.93503292602,55.20001863480922,3.176568561271833,High Income
331,Australia,AUS,2019,331685648,0.6386324620188788,19651.661423827485,40.58815137709094,3.658050325127805,High Income
332,Australia,AUS,2020,228427621,0.6397559967263522,33039.43141037348,46.86891363857298,2.171409705592472,Low Income
333,Australia,AUS,2021,344776267,0.4872777696254009,2811.252964073268,36.649891889712336,4.424334743647531,Lower Middle Income
334,Australia,AUS,2022,336378626,0.3412712090920658,57899.97325883436,30.48887595656733,2.430793975677324,High Income
335,Australia,AUS,2023,210300248,0.5510145540425404,50265.44608250848,52.8151645843981,4.216353541384228,Upper Middle Income
336,Saudi Arabia,SAU,2000,231795311,0.5484997917379404,27746.060975952667,28.106764004506488,2.497387802766725,Upper Middle Income
337,Saudi Arabia,SAU,2001,180618507,0.4046792196306401,62692.77634211765,27.11420970537159,1.105433295391279,Low Income
338,Saudi Arabia,SAU,2002,128462528,0.4007450367269067,37030.37413239532,30.814460129339327,4.7153847688275015,High Income
339,Saudi Arabia,SAU,2003,182848950,0.6422368814299109,55833.54214263424,44.00059430452167,2.51020829395039,Low Income
340,Saudi Arabia,SAU,2004,239577808,0.4553619792046243,20968.5825360611,33.781480395853606,2.8918627702476134,High Income
341,Saudi Arabia,SAU,2005,314269826,0.5955237678522517,61401.17092946364,52.65185971070876,1.1035876210652744,Upper Middle Income
342,Saudi Arabia,SAU,2006,60216359,0.2730135979538994,54291.769750416,41.76091589306637,1.1026179073498938,Upper Middle Income
343,Saudi Arabia,SAU,2007,227014878,0.6146135968233761,34060.77592880791,55.22676787172304,2.470452173886384,Low Income
344,Saudi Arabia,SAU,2008,116288880,0.5815054364497472,35838.04709353446,22.53375810232695,4.274937447150078,Lower Middle Income
345,Saudi Arabia,SAU,2009,260627791,0.603083898603272,38204.98422764152,55.37379687692604,4.1012586174576,High Income
346,Saudi Arabia,SAU,2010,332990983,0.2274312594123847,15707.189656287372,52.2850301859388,2.844345512018729,Lower Middle Income
347,Saudi Arabia,SAU,2011,54328487,0.2098754835076901,23816.233606518555,28.586185576210173,3.5274180531358934,Lower Middle Income
348,Saudi Arabia,SAU,2012,61145125,0.3844490831236332,64331.91690890243,29.36865346658792,4.453813337830312,High Income
349,Saudi Arabia,SAU,2013,329015227,0.3797518514200388,58674.50042879326,59.68908440990045,3.7885524051646566,Lower Middle Income
350,Saudi Arabia,SAU,2014,337173581,0.3295671585778619,45598.054675161606,33.5598379732813,3.5489708519356955,Lower Middle Income
351,Saudi Arabia,SAU,2015,145907545,0.2539878983977073,56968.03070373265,21.62615495821783,1.3463584221222504,Upper Middle Income
352,Saudi Arabia,SAU,2016,149228157,0.4879966809444458,52656.0208514923,30.540255626932872,4.911861232177765,Low Income
353,Saudi Arabia,SAU,2017,276137527,0.4979375775662071,38125.53065213718,21.08878491597924,3.640205984996898,Lower Middle Income
354,Saudi Arabia,SAU,2018,286989011,0.511358427353704,67851.68750991959,20.29904960989773,3.579384416020886,Low Income
355,Saudi Arabia,SAU,2019,76352940,0.2983617556569533,22142.28634544848,27.31693537896636,4.16803021501162,High Income
356,Saudi Arabia,SAU,2020,59947230,0.3009024539871329,23503.2167933524,51.791266449916215,1.8422047458562945,Low Income
357,Saudi Arabia,SAU,2021,8614363,0.4709904173738901,44303.92114240152,24.308290696645948,1.9674559484592755,Low Income
358,Saudi Arabia,SAU,2022,210722601,0.2100656452250586,56770.87096820771,42.414258455397096,2.048774470558686,Low Income
359,Saudi Arabia,SAU,2023,165396943,0.3641566715257589,65251.30876818287,30.817990482453453,2.179214416165834,Lower Middle Income
